DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2017,4999,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2018,5128,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2019,4797,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2020,4370,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2021,5285,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2022,4447,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2023,4655,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2015,65536,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2016,63841,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2017,61824,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2018,61022,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2019,59289,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2020,55959,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2021,60553,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2022,54411,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Total,Ireland,2023,54472,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2015,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2016,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2017,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2018,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2019,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2020,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2021,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2022,0,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,Unknown,Ireland,2023,0,,
