"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Denmark","6-11mo",2027-08-30,2028-08-27,546,"2027/2028"
"Denmark","60-64",2027-08-30,2028-08-27,111,"2027/2028"
"Denmark","65-69",2027-08-30,2028-08-27,162,"2027/2028"
"Denmark","70-74",2027-08-30,2028-08-27,219,"2027/2028"
"Denmark","75-79",2027-08-30,2028-08-27,296,"2027/2028"
"Denmark","80+",2027-08-30,2028-08-27,749,"2027/2028"
"Estonia","0-2mo",2026-08-31,2027-08-29,182,"2026/2027"
"Estonia","1-4",2026-08-31,2027-08-29,161,"2026/2027"
"Estonia","18-59",2026-08-31,2027-08-29,37,"2026/2027"
"Estonia","3-5mo",2026-08-31,2027-08-29,88,"2026/2027"
"Estonia","5-17",2026-08-31,2027-08-29,12,"2026/2027"
"Estonia","6-11mo",2026-08-31,2027-08-29,70,"2026/2027"
"Estonia","60-64",2026-08-31,2027-08-29,33,"2026/2027"
"Estonia","65-69",2026-08-31,2027-08-29,45,"2026/2027"
"Estonia","70-74",2026-08-31,2027-08-29,48,"2026/2027"
"Estonia","75-79",2026-08-31,2027-08-29,67,"2026/2027"
"Estonia","80+",2026-08-31,2027-08-29,220,"2026/2027"
"Estonia","0-2mo",2027-08-30,2028-08-27,182,"2027/2028"
"Estonia","1-4",2027-08-30,2028-08-27,161,"2027/2028"
"Estonia","18-59",2027-08-30,2028-08-27,37,"2027/2028"
"Estonia","3-5mo",2027-08-30,2028-08-27,88,"2027/2028"
"Estonia","5-17",2027-08-30,2028-08-27,12,"2027/2028"
"Estonia","6-11mo",2027-08-30,2028-08-27,70,"2027/2028"
"Estonia","60-64",2027-08-30,2028-08-27,33,"2027/2028"
"Estonia","65-69",2027-08-30,2028-08-27,45,"2027/2028"
"Estonia","70-74",2027-08-30,2028-08-27,48,"2027/2028"
"Estonia","75-79",2027-08-30,2028-08-27,67,"2027/2028"
"Estonia","80+",2027-08-30,2028-08-27,220,"2027/2028"
"Finland","0-2mo",2026-08-31,2027-08-29,879,"2026/2027"
"Finland","1-4",2026-08-31,2027-08-29,596,"2026/2027"
"Finland","18-59",2026-08-31,2027-08-29,48,"2026/2027"
"Finland","3-5mo",2026-08-31,2027-08-29,453,"2026/2027"
"Finland","5-17",2026-08-31,2027-08-29,6,"2026/2027"
"Finland","6-11mo",2026-08-31,2027-08-29,363,"2026/2027"
"Finland","60-64",2026-08-31,2027-08-29,33,"2026/2027"
"Finland","65-69",2026-08-31,2027-08-29,57,"2026/2027"
"Finland","70-74",2026-08-31,2027-08-29,96,"2026/2027"
"Finland","75-79",2026-08-31,2027-08-29,153,"2026/2027"
"Finland","80+",2026-08-31,2027-08-29,515,"2026/2027"
"Finland","0-2mo",2027-08-30,2028-08-27,879,"2027/2028"
"Finland","1-4",2027-08-30,2028-08-27,596,"2027/2028"
"Finland","18-59",2027-08-30,2028-08-27,48,"2027/2028"
"Finland","3-5mo",2027-08-30,2028-08-27,453,"2027/2028"
"Finland","5-17",2027-08-30,2028-08-27,6,"2027/2028"
"Finland","6-11mo",2027-08-30,2028-08-27,363,"2027/2028"
"Finland","60-64",2027-08-30,2028-08-27,33,"2027/2028"
"Finland","65-69",2027-08-30,2028-08-27,57,"2027/2028"
"Finland","70-74",2027-08-30,2028-08-27,96,"2027/2028"
"Finland","75-79",2027-08-30,2028-08-27,153,"2027/2028"
"Finland","80+",2027-08-30,2028-08-27,515,"2027/2028"
"France","0-2mo",2026-08-31,2027-08-29,15407,"2026/2027"
"France","1-4",2026-08-31,2027-08-29,8242,"2026/2027"
"France","18-59",2026-08-31,2027-08-29,2194,"2026/2027"
"France","3-5mo",2026-08-31,2027-08-29,7459,"2026/2027"
"France","5-17",2026-08-31,2027-08-29,690,"2026/2027"
"France","6-11mo",2026-08-31,2027-08-29,7904,"2026/2027"
"France","60-64",2026-08-31,2027-08-29,1252,"2026/2027"
"France","65-69",2026-08-31,2027-08-29,1863,"2026/2027"
"France","70-74",2026-08-31,2027-08-29,2799,"2026/2027"
"France","75-79",2026-08-31,2027-08-29,3764,"2026/2027"
"France","80+",2026-08-31,2027-08-29,13771,"2026/2027"
"France","0-2mo",2027-08-30,2028-08-27,15407,"2027/2028"
"France","1-4",2027-08-30,2028-08-27,8242,"2027/2028"
"France","18-59",2027-08-30,2028-08-27,2194,"2027/2028"
"France","3-5mo",2027-08-30,2028-08-27,7459,"2027/2028"
"France","5-17",2027-08-30,2028-08-27,690,"2027/2028"
"France","6-11mo",2027-08-30,2028-08-27,7904,"2027/2028"
"France","60-64",2027-08-30,2028-08-27,1252,"2027/2028"
"France","65-69",2027-08-30,2028-08-27,1863,"2027/2028"
"France","70-74",2027-08-30,2028-08-27,2799,"2027/2028"
"France","75-79",2027-08-30,2028-08-27,3764,"2027/2028"
"France","80+",2027-08-30,2028-08-27,13771,"2027/2028"
"Germany","0-2mo",2026-08-31,2027-08-29,12643,"2026/2027"
"Germany","1-4",2026-08-31,2027-08-29,9374,"2026/2027"
"Germany","18-59",2026-08-31,2027-08-29,2277,"2026/2027"
"Germany","3-5mo",2026-08-31,2027-08-29,6179,"2026/2027"
"Germany","5-17",2026-08-31,2027-08-29,505,"2026/2027"
"Germany","6-11mo",2026-08-31,2027-08-29,5927,"2026/2027"
"Germany","60-64",2026-08-31,2027-08-29,1561,"2026/2027"
"Germany","65-69",2026-08-31,2027-08-29,2145,"2026/2027"
"Germany","70-74",2026-08-31,2027-08-29,3041,"2026/2027"
"Germany","75-79",2026-08-31,2027-08-29,3395,"2026/2027"
"Germany","80+",2026-08-31,2027-08-29,16354,"2026/2027"
"Germany","0-2mo",2027-08-30,2028-08-27,12643,"2027/2028"
"Germany","1-4",2027-08-30,2028-08-27,9374,"2027/2028"
"Germany","18-59",2027-08-30,2028-08-27,2277,"2027/2028"
"Germany","3-5mo",2027-08-30,2028-08-27,6179,"2027/2028"
"Germany","5-17",2027-08-30,2028-08-27,505,"2027/2028"
"Germany","6-11mo",2027-08-30,2028-08-27,5927,"2027/2028"
